Galaxy in Pair of Galaxies ; NGC 1 
Emission-line galaxy ; NGC 144 
Interacting Galaxies ; NGC 145 
Open (galactic) Cluster ; NGC 146 
Galaxy in Group of Galaxies ; NGC 147 
Galaxy in Group of Galaxies ; NGC 148 
Galaxy ; NGC 149 
Emission-line galaxy ; NGC 150 
LINER-type Active Galaxy Nucleus ; NGC 151 
Open (galactic) Cluster ; NGC 152 
Galaxy in Group of Galaxies ; NGC 154 
Galaxy in Group of Galaxies ; NGC 155 
Emission-line galaxy ; NGC 157 
Galaxy in Group of Galaxies ; NGC 159 
Galaxy ; NGC 160 
Galaxy in Group of Galaxies ; NGC 161 
Galaxy in Group of Galaxies ; NGC 163 
Galaxy ; NGC 164 
Radio Galaxy ; NGC 165 
Seyfert 2 Galaxy ; NGC 166 
Emission-line galaxy ; NGC 167 
Emission-line galaxy ; NGC 168 
Seyfert Galaxy ; NGC 169 
Galaxy in Group of Galaxies ; NGC 170 
Galaxy ; NGC 172 
Galaxy in Group of Galaxies ; NGC 173 
Galaxy ; NGC 174 
Galaxy ; NGC 175 
Cluster of Stars ; NGC 176 
Galaxy ; NGC 177 
Galaxy in Group of Galaxies ; NGC 178 
Galaxy ; NGC 179 
Galaxy in Group of Galaxies ; NGC 180 
Galaxy in Pair of Galaxies ; NGC 181 
Galaxy in Group of Galaxies ; NGC 182 
Galaxy in Group of Galaxies ; NGC 183 
Galaxy in Pair of Galaxies ; NGC 184 
Seyfert 2 Galaxy ; NGC 185 
Galaxy in Group of Galaxies ; NGC 186 
Galaxy in Group of Galaxies ; NGC 187 
Open (galactic) Cluster ; NGC 188 
Open (galactic) Cluster ; NGC 189 
Galaxy in Cluster of Galaxies ; NGC 190 
Interacting Galaxies ; NGC 191 
Radio Galaxy ; NGC 192 
Radio Galaxy ; NGC 193 
Galaxy in Group of Galaxies ; NGC 194 
Galaxy ; NGC 195 
Galaxy in Group of Galaxies ; NGC 196 
Galaxy in Pair of Galaxies ; NGC 197 
Galaxy in Group of Galaxies ; NGC 198 
Galaxy in Group of Galaxies ; NGC 199 
Galaxy in Group of Galaxies ; NGC 200 
Galaxy in Group of Galaxies ; NGC 201 
Galaxy in Group of Galaxies ; NGC 202 
Galaxy in Group of Galaxies ; NGC 203 
Galaxy in Group of Galaxies ; NGC 204 
Association of Stars ; NGC 206 
Emission-line galaxy ; NGC 207 
Galaxy in Group of Galaxies ; NGC 208 
Galaxy ; NGC 209 
Galaxy in Pair of Galaxies ; NGC 210 
Brightest galaxy in a Cluster (BCG) ; NGC 212 
Galaxy ; NGC 213 
Active Galaxy Nucleus ; NGC 214 
Brightest galaxy in a Cluster (BCG) ; NGC 215 
Emission-line galaxy ; NGC 216 
Galaxy in Cluster of Galaxies ; NGC 217 
Low Surface Brightness Galaxy ; NGC 218 
Galaxy in Cluster of Galaxies ; NGC 219 
Open (galactic) Cluster ; NGC 220 
Open (galactic) Cluster ; NGC 222 
LINER-type Active Galaxy Nucleus ; NGC 223 
Open (galactic) Cluster ; NGC 225 
Galaxy in Group of Galaxies ; NGC 226 
Galaxy in Group of Galaxies ; NGC 227 
Galaxy in Group of Galaxies ; NGC 228 
Galaxy in Group of Galaxies ; NGC 229 
Galaxy in Group of Galaxies ; NGC 230 
Open (galactic) Cluster ; NGC 231 
Galaxy in Group of Galaxies ; NGC 232 
Galaxy in Group of Galaxies ; NGC 233 
Emission-line galaxy ; NGC 234 
Seyfert 2 Galaxy ; NGC 235 
Galaxy in Group of Galaxies ; NGC 236 
Active Galaxy Nucleus ; NGC 237 
Galaxy ; NGC 238 
Emission-line galaxy ; NGC 239 
Galaxy ; NGC 240 
Cluster of Stars ; NGC 241 
Open (galactic) Cluster ; NGC 242 
Galaxy in Group of Galaxies ; NGC 243 
Blue compact Galaxy ; NGC 244 
HII Galaxy ; NGC 245 
Planetary Nebula ; NGC 246 
Low Surface Brightness Galaxy ; NGC 247 
Cluster of Stars ; NGC 248 
HII (ionized) region ; NGC 249 
Galaxy in Group of Galaxies ; NGC 250 
Galaxy in Pair of Galaxies ; NGC 251 
Galaxy in Group of Galaxies ; NGC 252 
Seyfert Galaxy ; NGC 253 
Galaxy in Pair of Galaxies ; NGC 254 
Galaxy in Group of Galaxies ; NGC 255 
Open (galactic) Cluster ; NGC 256 
Galaxy in Group of Galaxies ; NGC 257 
Galaxy ; NGC 258 
Emission-line galaxy ; NGC 259 
Galaxy in Group of Galaxies ; NGC 260 
HII (ionized) region ; NGC 261 
Seyfert 2 Galaxy ; NGC 262 
Galaxy ; NGC 263 
Galaxy ; NGC 264 
LINER-type Active Galaxy Nucleus ; NGC 266 
HII (ionized) region ; NGC 267 
Emission-line galaxy ; NGC 268 
Cluster of Stars ; NGC 269 
Galaxy in Group of Galaxies ; NGC 270 
Galaxy in Group of Galaxies ; NGC 271 
Cluster of Stars ; NGC 272 
Galaxy ; NGC 273 
Galaxy in Pair of Galaxies ; NGC 274 
Galaxy in Pair of Galaxies ; NGC 275 
Emission-line galaxy ; NGC 276 
Galaxy in Group of Galaxies ; NGC 277 
HII Galaxy ; NGC 278 
Possible Quasar ; NGC 279 
Galaxy in Group of Galaxies ; NGC 280 
HII (ionized) region ; NGC 281 
Galaxy ; NGC 282 
Galaxy in Group of Galaxies ; NGC 283 
Galaxy ; NGC 284 
Galaxy in Group of Galaxies ; NGC 285 
Galaxy in Group of Galaxies ; NGC 286 
Galaxy in Group of Galaxies ; NGC 287 
Globular Cluster ; NGC 288 
Active Galaxy Nucleus ; NGC 289 
Cluster of Stars ; NGC 290 
Seyfert 2 Galaxy ; NGC 291 
Galaxy in Cluster of Galaxies ; NGC 293 
Cluster of Stars ; NGC 294 
Galaxy in Group of Galaxies ; NGC 295 
Low Surface Brightness Galaxy ; NGC 296 
Galaxy ; NGC 297 
Galaxy in Group of Galaxies ; NGC 298 
Cluster of Stars ; NGC 299 
Galaxy in Group of Galaxies ; NGC 300 
Galaxy ; NGC 301 
Emission-line galaxy ; NGC 303 
Galaxy in Group of Galaxies ; NGC 304 
Galaxy ; NGC 305 
Cluster of Stars ; NGC 306 
Galaxy in Group of Galaxies ; NGC 307 
Emission-line galaxy ; NGC 309 
Galaxy in Group of Galaxies ; NGC 311 
Galaxy in Group of Galaxies ; NGC 312 
Galaxy ; NGC 314 
LINER-type Active Galaxy Nucleus ; NGC 315 
Pair of Galaxies ; NGC 317 
Galaxy in Group of Galaxies ; NGC 318 
Galaxy ; NGC 319 
Emission-line galaxy ; NGC 320 
Galaxy ; NGC 321 
Galaxy ; NGC 322 
Galaxy in Group of Galaxies ; NGC 323 
Galaxy ; NGC 324 
Galaxy in Group of Galaxies ; NGC 325 
Radio Galaxy ; NGC 326 
Galaxy in Group of Galaxies ; NGC 327 
Galaxy in Group of Galaxies ; NGC 328 
Galaxy in Group of Galaxies ; NGC 329 
Cluster of Stars ; NGC 330 
Galaxy ; NGC 331 
Galaxy ; NGC 332 
Galaxy ; NGC 333 
Galaxy ; NGC 334 
Galaxy ; NGC 335 
Galaxy ; NGC 336 
Emission-line galaxy ; NGC 337 
Galaxy in Group of Galaxies ; NGC 338 
Open (galactic) Cluster ; NGC 339 
Emission-line galaxy ; NGC 340 
Interacting Galaxies ; NGC 341 
Galaxy in Group of Galaxies ; NGC 342 
Galaxy ; NGC 344 
Galaxy in Group of Galaxies ; NGC 345 
Cluster of Stars ; NGC 346 
Galaxy in Cluster of Galaxies ; NGC 347 
Galaxy ; NGC 348 
Galaxy in Group of Galaxies ; NGC 349 
Galaxy in Group of Galaxies ; NGC 350 
Emission-line galaxy ; NGC 351 
Galaxy in Group of Galaxies ; NGC 352 
Emission-line galaxy ; NGC 353 
Galaxy ; NGC 354 
Galaxy ; NGC 355 
Galaxy in Group of Galaxies ; NGC 356 
Galaxy in Cluster of Galaxies ; NGC 357 
Open (galactic) Cluster ; NGC 358 
Galaxy in Group of Galaxies ; NGC 359 
Galaxy ; NGC 360 
Open (galactic) Cluster ; NGC 361 
Globular Cluster ; NGC 362 
Galaxy ; NGC 363 
LINER-type Active Galaxy Nucleus ; NGC 364 
Galaxy ; NGC 365 
Open (galactic) Cluster ; NGC 366 
Galaxy ; NGC 367 
Galaxy ; NGC 368 
Galaxy in Group of Galaxies ; NGC 369 
Open (galactic) Cluster ; NGC 371 
Galaxy in Group of Galaxies ; NGC 373 
Galaxy in Group of Galaxies ; NGC 374 
Interacting Galaxies ; NGC 375 
Cluster of Stars ; NGC 376 
Galaxy ; NGC 378 
Galaxy in Group of Galaxies ; NGC 379 
Galaxy in Group of Galaxies ; NGC 380 
Open (galactic) Cluster ; NGC 381 
Galaxy in Pair of Galaxies ; NGC 382 
Radio Galaxy ; NGC 383 
Galaxy in Group of Galaxies ; NGC 384 
Galaxy in Group of Galaxies ; NGC 385 
Galaxy in Group of Galaxies ; NGC 386 
Galaxy in Group of Galaxies ; NGC 387 
Galaxy in Group of Galaxies ; NGC 388 
Galaxy in Group of Galaxies ; NGC 389 
Galaxy in Group of Galaxies ; NGC 390 
Galaxy in Group of Galaxies ; NGC 391 
Galaxy in Group of Galaxies ; NGC 392 
Galaxy in Group of Galaxies ; NGC 393 
Galaxy in Group of Galaxies ; NGC 394 
Association of Stars ; NGC 395 
Galaxy ; NGC 396 
Galaxy in Group of Galaxies ; NGC 397 
Galaxy in Group of Galaxies ; NGC 398 
Galaxy in Group of Galaxies ; NGC 399 
Galaxy in Group of Galaxies ; NGC 403 
LINER-type Active Galaxy Nucleus ; NGC 404 
Galaxy ; NGC 406 
Galaxy in Group of Galaxies ; NGC 407 
Galaxy in Group of Galaxies ; NGC 408 
Galaxy in Group of Galaxies ; NGC 409 
Galaxy in Group of Galaxies ; NGC 410 
Cluster of Stars ; NGC 411 
Galaxy ; NGC 412 
Galaxy in Group of Galaxies ; NGC 413 
Galaxy in Group of Galaxies ; NGC 414 
Galaxy in Group of Galaxies ; NGC 415 
Cluster of Stars ; NGC 416 
LINER-type Active Galaxy Nucleus ; NGC 417 
Emission-line galaxy ; NGC 418 
Open (galactic) Cluster ; NGC 419 
Galaxy in Group of Galaxies ; NGC 420 
Open (galactic) Cluster ; NGC 422 
Galaxy ; NGC 423 
Seyfert 2 Galaxy ; NGC 424 
Galaxy in Group of Galaxies ; NGC 425 
LINER-type Active Galaxy Nucleus ; NGC 426 
Seyfert 1 Galaxy ; NGC 427 
Active Galaxy Nucleus ; NGC 428 
Galaxy in Group of Galaxies ; NGC 429 
Galaxy in Group of Galaxies ; NGC 430 
Galaxy ; NGC 431 
Brightest galaxy in a Cluster (BCG) ; NGC 432 
Open (galactic) Cluster ; NGC 433 
Galaxy in Group of Galaxies ; NGC 434 
Galaxy in Group of Galaxies ; NGC 435 
Open (galactic) Cluster ; NGC 436 
Galaxy in Group of Galaxies ; NGC 437 
Galaxy ; NGC 438 
Brightest galaxy in a Cluster (BCG) ; NGC 439 
Galaxy in Group of Galaxies ; NGC 440 
Brightest galaxy in a Cluster (BCG) ; NGC 441 
Galaxy in Group of Galaxies ; NGC 442 
Galaxy in Group of Galaxies ; NGC 443 
Galaxy in Cluster of Galaxies ; NGC 444 
Galaxy in Group of Galaxies ; NGC 445 
Active Galaxy Nucleus ; NGC 446 
Galaxy in Group of Galaxies ; NGC 447 
Galaxy in Pair of Galaxies ; NGC 448 
Seyfert 2 Galaxy ; NGC 449 
HII Galaxy ; NGC 450 
Galaxy in Group of Galaxies ; NGC 451 
Galaxy in Pair of Galaxies ; NGC 452 
Pair of Galaxies ; NGC 454 
Interacting Galaxies ; NGC 455 
HII (ionized) region ; NGC 456 
Open (galactic) Cluster ; NGC 457 
Open (galactic) Cluster ; NGC 458 
Galaxy ; NGC 459 
Cluster of Stars ; NGC 460 
Galaxy ; NGC 461 
Galaxy ; NGC 462 
Galaxy in Group of Galaxies ; NGC 463 
Galaxy ; NGC 464 
Open (galactic) Cluster ; NGC 465 
Galaxy in Group of Galaxies ; NGC 466 
Galaxy in Group of Galaxies ; NGC 467 
Galaxy in Group of Galaxies ; NGC 468 
Low Surface Brightness Galaxy ; NGC 469 
Galaxy in Pair of Galaxies ; NGC 470 
Radio Galaxy ; NGC 471 
Galaxy in Group of Galaxies ; NGC 472 
Low Surface Brightness Galaxy ; NGC 473 
Galaxy in Pair of Galaxies ; NGC 474 
Brightest galaxy in a Cluster (BCG) ; NGC 475 
Galaxy in Group of Galaxies ; NGC 476 
Seyfert 2 Galaxy ; NGC 477 
Emission-line galaxy ; NGC 478 
Galaxy in Cluster of Galaxies ; NGC 479 
Galaxy ; NGC 480 
Galaxy in Cluster of Galaxies ; NGC 481 
Galaxy ; NGC 482 
Galaxy in Group of Galaxies ; NGC 483 
Galaxy in Group of Galaxies ; NGC 484 
Galaxy in Group of Galaxies ; NGC 485 
Galaxy ; NGC 486 
Galaxy in Group of Galaxies ; NGC 487 
Galaxy in Group of Galaxies ; NGC 488 
Galaxy in Group of Galaxies ; NGC 489 
Galaxy in Cluster of Galaxies ; NGC 490 
Galaxy in Group of Galaxies ; NGC 491 
Galaxy in Cluster of Galaxies ; NGC 492 
Galaxy in Cluster of Galaxies ; NGC 493 
Galaxy in Group of Galaxies ; NGC 494 
Galaxy in Group of Galaxies ; NGC 495 
Galaxy in Group of Galaxies ; NGC 496 
LINER-type Active Galaxy Nucleus ; NGC 497 
Galaxy in Cluster of Galaxies ; NGC 498 
LINER-type Active Galaxy Nucleus ; NGC 499 
Galaxy in Cluster of Galaxies ; NGC 500 
Galaxy in Group of Galaxies ; NGC 501 
Galaxy in Group of Galaxies ; NGC 502 
Galaxy in Group of Galaxies ; NGC 503 
Galaxy in Group of Galaxies ; NGC 504 
Galaxy ; NGC 505 
Brightest galaxy in a Cluster (BCG) ; NGC 507 
Galaxy in Group of Galaxies ; NGC 508 
Galaxy in Group of Galaxies ; NGC 509 
Galaxy ; NGC 511 
Galaxy in Group of Galaxies ; NGC 512 
Seyfert 2 Galaxy ; NGC 513 
HII Galaxy ; NGC 514 
Galaxy in Group of Galaxies ; NGC 515 
Galaxy in Pair of Galaxies ; NGC 516 
Galaxy in Group of Galaxies ; NGC 517 
Galaxy in Group of Galaxies ; NGC 518 
Galaxy in Group of Galaxies ; NGC 519 
Interacting Galaxies ; NGC 520 
Low Surface Brightness Galaxy ; NGC 521 
Galaxy in Group of Galaxies ; NGC 522 
Interacting Galaxies ; NGC 523 
Galaxy in Pair of Galaxies ; NGC 524 
Galaxy ; NGC 525 
Seyfert 1 Galaxy ; NGC 526 
Galaxy in Group of Galaxies ; NGC 527 
Galaxy in Group of Galaxies ; NGC 528 
Galaxy in Group of Galaxies ; NGC 529 
Galaxy in Group of Galaxies ; NGC 530 
Galaxy in Group of Galaxies ; NGC 531 
Galaxy in Group of Galaxies ; NGC 532 
Galaxy in Group of Galaxies ; NGC 533 
Galaxy in Group of Galaxies ; NGC 534 
Galaxy in Group of Galaxies ; NGC 535 
Active Galaxy Nucleus ; NGC 536 
Galaxy in Group of Galaxies ; NGC 538 
Emission-line galaxy ; NGC 539 
Galaxy ; NGC 540 
Interacting Galaxies ; NGC 541 
Galaxy in Group of Galaxies ; NGC 542 
Galaxy in Group of Galaxies ; NGC 543 
Galaxy in Group of Galaxies ; NGC 544 
Brightest galaxy in a Cluster (BCG) ; NGC 545 
Emission-line galaxy ; NGC 546 
Galaxy in Pair of Galaxies ; NGC 547 
Radio Galaxy ; NGC 548 
Emission-line galaxy ; NGC 549 
Galaxy in Group of Galaxies ; NGC 550 
Galaxy ; NGC 551 
Interacting Galaxies ; NGC 554 
Galaxy in Group of Galaxies ; NGC 555 
Galaxy ; NGC 556 
Galaxy in Group of Galaxies ; NGC 557 
Galaxy in Group of Galaxies ; NGC 558 
Open (galactic) Cluster ; NGC 559 
Galaxy in Group of Galaxies ; NGC 560 
Galaxy in Group of Galaxies ; NGC 561 
Galaxy in Group of Galaxies ; NGC 562 
Galaxy ; NGC 563 
Galaxy in Group of Galaxies ; NGC 564 
Galaxy in Group of Galaxies ; NGC 565 
Galaxy ; NGC 566 
Galaxy in Cluster of Galaxies ; NGC 567 
Galaxy in Group of Galaxies ; NGC 568 
Galaxy in Pair of Galaxies ; NGC 569 
LINER-type Active Galaxy Nucleus ; NGC 570 
Galaxy ; NGC 571 
Galaxy ; NGC 572 
Galaxy ; NGC 573 
Galaxy in Group of Galaxies ; NGC 574 
Galaxy ; NGC 575 
Galaxy ; NGC 576 
Galaxy in Group of Galaxies ; NGC 577 
Galaxy ; NGC 578 
Galaxy in Group of Galaxies ; NGC 579 
Galaxy in Group of Galaxies ; NGC 582 
Galaxy ; NGC 583 
Galaxy in Pair of Galaxies ; NGC 584 
LINER-type Active Galaxy Nucleus ; NGC 585 
Galaxy in Pair of Galaxies ; NGC 586 
Galaxy in Group of Galaxies ; NGC 587 
HII (ionized) region ; NGC 588 
Galaxy in Group of Galaxies ; NGC 589 
Galaxy in Pair of Galaxies ; NGC 590 
Seyfert 2 Galaxy ; NGC 591 
Galaxy in Group of Galaxies ; NGC 593 
Emission-line galaxy ; NGC 594 
HII (ionized) region ; NGC 595 
Galaxy in Group of Galaxies ; NGC 596 
Galaxy in Group of Galaxies ; NGC 597 
Active Galaxy Nucleus ; NGC 599 
Emission-line galaxy ; NGC 600 
Cluster of Stars ; NGC 602 
Composite object ; NGC 603 
HII (ionized) region ; NGC 604 
Galaxy ; NGC 605 
Galaxy ; NGC 606 
Galaxy in Pair of Galaxies ; NGC 608 
Open (galactic) Cluster ; NGC 609 
Object of unknown nature ; NGC 611 
Seyfert 2 Galaxy ; NGC 612 
Active Galaxy Nucleus ; NGC 613 
Galaxy in Pair of Galaxies ; NGC 614 
Galaxy in Group of Galaxies ; NGC 615 
Seyfert 1 Galaxy ; NGC 617 
Galaxy in Group of Galaxies ; NGC 619 
Galaxy ; NGC 620 
Galaxy in Group of Galaxies ; NGC 621 
Emission-line galaxy ; NGC 622 
Galaxy in Group of Galaxies ; NGC 623 
LINER-type Active Galaxy Nucleus ; NGC 624 
Active Galaxy Nucleus ; NGC 625 
Galaxy in Group of Galaxies ; NGC 626 
Galaxy in Group of Galaxies ; NGC 630 
Galaxy in Pair of Galaxies ; NGC 631 
Galaxy in Pair of Galaxies ; NGC 632 
Emission-line galaxy ; NGC 633 
Galaxy in Group of Galaxies ; NGC 634 
Galaxy in Group of Galaxies ; NGC 636 
Open (galactic) Cluster ; NGC 637 
Galaxy in Group of Galaxies ; NGC 638 
Emission-line galaxy ; NGC 639 
Seyfert 2 Galaxy ; NGC 640 
Galaxy in Group of Galaxies ; NGC 641 
Galaxy in Pair of Galaxies ; NGC 642 
Cluster of Stars ; NGC 643 
Galaxy in Group of Galaxies ; NGC 644 
Galaxy in Group of Galaxies ; NGC 645 
Interacting Galaxies ; NGC 646 
LINER-type Active Galaxy Nucleus ; NGC 647 
Galaxy ; NGC 648 
Galaxy in Cluster of Galaxies ; NGC 649 
Galaxy ; NGC 652 
Galaxy in Group of Galaxies ; NGC 653 
Open (galactic) Cluster ; NGC 654 
Galaxy ; NGC 655 
Galaxy ; NGC 656 
Open (galactic) Cluster ; NGC 657 
Galaxy ; NGC 658 
Open (galactic) Cluster ; NGC 659 
Seyfert 2 Galaxy ; NGC 660 
Galaxy in Group of Galaxies ; NGC 661 
Radio Galaxy ; NGC 662 
Open (galactic) Cluster ; NGC 663 
Galaxy in Group of Galaxies ; NGC 664 
Galaxy in Group of Galaxies ; NGC 665 
Galaxy in Group of Galaxies ; NGC 666 
Galaxy ; NGC 667 
Galaxy in Group of Galaxies ; NGC 668 
Active Galaxy Nucleus ; NGC 669 
Galaxy in Group of Galaxies ; NGC 670 
LINER-type Active Galaxy Nucleus ; NGC 671 
Galaxy in Pair of Galaxies ; NGC 672 
Galaxy in Group of Galaxies ; NGC 673 
Galaxy in Group of Galaxies ; NGC 675 
Seyfert 2 Galaxy ; NGC 676 
Galaxy in Group of Galaxies ; NGC 677 
Galaxy in Pair of Galaxies ; NGC 678 
Galaxy in Group of Galaxies ; NGC 679 
Galaxy in Pair of Galaxies ; NGC 680 
Galaxy in Pair of Galaxies ; NGC 681 
Galaxy in Group of Galaxies ; NGC 682 
Galaxy in Group of Galaxies ; NGC 683 
Galaxy in Group of Galaxies ; NGC 684 
Galaxy ; NGC 685 
Low Surface Brightness Galaxy ; NGC 686 
Galaxy in Group of Galaxies ; NGC 687 
Galaxy in Group of Galaxies ; NGC 688 
Emission-line galaxy ; NGC 689 
Galaxy ; NGC 690 
Galaxy in Group of Galaxies ; NGC 691 
Galaxy in Group of Galaxies ; NGC 692 
Galaxy in Cluster of Galaxies ; NGC 693 
Galaxy in Pair of Galaxies ; NGC 694 
Galaxy ; NGC 695 
Galaxy in Group of Galaxies ; NGC 696 
Galaxy in Group of Galaxies ; NGC 697 
Galaxy in Group of Galaxies ; NGC 698 
Emission-line galaxy ; NGC 699 
Galaxy in Cluster of Galaxies ; NGC 700 
Galaxy in Group of Galaxies ; NGC 701 
Interacting Galaxies ; NGC 702 
Radio Galaxy ; NGC 703 
Galaxy in Group of Galaxies ; NGC 704 
Galaxy in Group of Galaxies ; NGC 705 
Galaxy in Group of Galaxies ; NGC 706 
LINER-type Active Galaxy Nucleus ; NGC 707 
Brightest galaxy in a Cluster (BCG) ; NGC 708 
Galaxy in Group of Galaxies ; NGC 709 
Galaxy in Group of Galaxies ; NGC 710 
Galaxy in Group of Galaxies ; NGC 711 
Galaxy in Group of Galaxies ; NGC 712 
Galaxy ; NGC 713 
Galaxy in Group of Galaxies ; NGC 714 
Emission-line galaxy ; NGC 715 
Galaxy ; NGC 716 
Galaxy in Group of Galaxies ; NGC 717 
Galaxy in Cluster of Galaxies ; NGC 718 
Galaxy in Group of Galaxies ; NGC 719 
Galaxy in Group of Galaxies ; NGC 720 
Galaxy ; NGC 721 
Galaxy in Group of Galaxies ; NGC 722 
Emission-line galaxy ; NGC 723 
Galaxy ; NGC 725 
Galaxy ; NGC 726 
Galaxy in Group of Galaxies ; NGC 727 
Galaxy ; NGC 729 
Galaxy ; NGC 731 
Galaxy in Group of Galaxies ; NGC 732 
Galaxy ; NGC 733 
Galaxy ; NGC 734 
Radio Galaxy ; NGC 735 
Galaxy in Group of Galaxies ; NGC 736 
Galaxy in Group of Galaxies ; NGC 738 
Galaxy in Group of Galaxies ; NGC 739 
Galaxy in Group of Galaxies ; NGC 740 
Radio Galaxy ; NGC 741 
Galaxy in Pair of Galaxies ; NGC 742 
Open (galactic) Cluster ; NGC 743 
Open (galactic) Cluster ; NGC 744 
Galaxy in Group of Galaxies ; NGC 745 
Low Surface Brightness Galaxy ; NGC 746 
